FirstName,LastName,Company,Email,Phone,LeadSource,Status
First1,Last1,Company_1,user1@example.com,555-823-0785,Web,Working - Contacted
First2,Last2,Company_2,user2@example.com,555-320-0282,Partner,Closed - Converted
First3,Last3,Company_3,user3@example.com,555-518-4679,Web,Working - Contacted
First4,Last4,Company_4,user4@example.com,555-653-9512,Partner,Working - Contacted
First5,Last5,Company_5,user5@example.com,555-086-9737,Referral,Closed - Converted
First6,Last6,Company_6,user6@example.com,555-177-5469,Referral,Closed - Converted
First7,Last7,Company_7,user7@example.com,555-328-4514,Web,Closed - Converted
First8,Last8,Company_8,user8@example.com,555-129-8592,Web,Open - Not Contacted
First9,Last9,Company_9,user9@example.com,555-725-8833,Partner,Closed - Converted
First10,Last10,Company_10,user10@example.com,555-694-4635,Web,Open - Not Contacted
First11,Last11,Company_11,user11@example.com,555-465-6813,Web,Working - Contacted
First12,Last12,Company_12,user12@example.com,555-691-2453,Web,Working - Contacted
First13,Last13,Company_13,user13@example.com,555-263-7388,Partner,Working - Contacted
First14,Last14,Company_14,user14@example.com,555-864-3715,Web,Working - Contacted
First15,Last15,Company_15,user15@example.com,555-771-8695,Partner,Open - Not Contacted
First16,Last16,Company_16,user16@example.com,555-567-1156,Web,Working - Contacted
First17,Last17,Company_17,user17@example.com,555-300-9055,Referral,Working - Contacted
First18,Last18,Company_18,user18@example.com,555-566-2119,Referral,Open - Not Contacted
First19,Last19,Company_19,user19@example.com,555-745-9111,Web,Closed - Converted
First20,Last20,Company_20,user20@example.com,555-437-6144,Web,Working - Contacted
First21,Last21,Company_21,user21@example.com,555-071-8294,Partner,Open - Not Contacted
First22,Last22,Company_22,user22@example.com,555-092-5398,Partner,Working - Contacted
First23,Last23,Company_23,user23@example.com,555-625-7518,Referral,Closed - Converted
First24,Last24,Company_24,user24@example.com,555-775-7310,Referral,Open - Not Contacted
First25,Last25,Company_25,user25@example.com,555-186-7369,Referral,Closed - Converted
First26,Last26,Company_26,user26@example.com,555-196-2253,Web,Open - Not Contacted
First27,Last27,Company_27,user27@example.com,555-435-2144,Referral,Open - Not Contacted
First28,Last28,Company_28,user28@example.com,555-019-8478,Web,Open - Not Contacted
First29,Last29,Company_29,user29@example.com,555-942-6433,Partner,Working - Contacted
First30,Last30,Company_30,user30@example.com,555-546-5592,Partner,Working - Contacted
First31,Last31,Company_31,user31@example.com,555-917-9182,Referral,Closed - Converted
First32,Last32,Company_32,user32@example.com,555-390-0890,Web,Closed - Converted
First33,Last33,Company_33,user33@example.com,555-346-3133,Web,Working - Contacted
First34,Last34,Company_34,user34@example.com,555-248-7527,Partner,Closed - Converted
First35,Last35,Company_35,user35@example.com,555-730-8789,Web,Open - Not Contacted
First36,Last36,Company_36,user36@example.com,555-480-6594,Referral,Open - Not Contacted
First37,Last37,Company_37,user37@example.com,555-179-3721,Web,Closed - Converted
First38,Last38,Company_38,user38@example.com,555-486-4646,Web,Open - Not Contacted
First39,Last39,Company_39,user39@example.com,555-501-6955,Referral,Working - Contacted
First40,Last40,Company_40,user40@example.com,555-602-5733,Referral,Open - Not Contacted
